ziwei,紫微,"紫微星，帝星",main,fixed,"依农历生日+五行局查表获取branchIndex",true,"sanhe，feixing，qintian，heluo",true
tianji,天机,"善星，智星",main,fixed,"紫微星系逆时针顺次排布",true,"sanhe，feixing，qintian，heluo",true
taiyang,太阳,"日星，贵星",main,fixed,"紫微星系逆时针排布",true,"sanhe，feixing，qintian，heluo",true
wuqu,武曲,"正财星，将星",main,fixed,"紫微星系逆时针排布",true,"sanhe，feixing，qintian，heluo",true
tiantong,天同,"福星，享受星",main,fixed,"紫微星系逆时针排布",true,"sanhe，feixing，qintian，heluo",true
lianzhen,廉贞,"桃花星，囚星",main,fixed,"紫微星系逆时针排布",true,"sanhe，feixing，qintian，heluo",true
tianfu_main,天府,"南斗库星",main,fixed,"紫微定位后查表天府落宫",true,"sanhe，feixing，qintian，heluo",true
taiyin,太阴,"月星，财星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
tanlang,贪狼,"桃花，欲望星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
jumeng,巨门,"暗星，口舌星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
tianxiang,天相,"印星，宰相星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
tianliang,天梁,"荫星，解厄星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
qisha,七杀,"肃杀，将星",main,fixed,"天府星系顺时针排布",true,"sanhe，feixing，qintian，heluo",true
pojun,破军,"开创，耗星",main,fixed,"天府七杀后空三宫安破军",true,"sanhe，feixing，qintian，heluo",true
lucun,禄存,"禄星，财库",lucky,yearStem,"十干禄存查表luCunTable",true,"sanhe，feixing，qintian，heluo",false
qingyang,擎羊,"羊刃，刑煞",evil,yearStem,"禄存moveForward(1)",false,"sanhe，feixing，qintian，heluo",false
tuoluo,陀罗,"纠缠，罗星",evil,yearStem,"禄存moveBackward(1)",false,"sanhe，feixing，qintian，heluo",false
tiankui,天魁,"阳贵星",lucky,yearStem,"十干天魁天钺表tianKuiYueTable",true,"sanhe，feixing，qintian，heluo",false
tianyue_gui,天钺,"阴贵星",lucky,yearStem,"十干天魁天钺表tianKuiYueTable",true,"sanhe，feixing，qintian，heluo",false
guchen,孤辰,"孤宿星",misc,yearBranch,"年支孤辰寡宿表guChenGuaXiu",false,"sanhe",false
guaxiu,寡宿,"寡宿星",misc,yearBranch,"孤辰对应顺移4宫",false,"sanhe",false
xunkong,旬空,"六甲空亡",misc,dayStemBranch,"六十甲子完整旬空fullSixtyXunKong",false,"sanhe",false
jieKong,截空,"截路空亡",misc,yearStem,"十干截空表jieKongTable",false,"sanhe",false
